,id,updated,confirmed,confirmed_change,deaths,deaths_change,recovered,recovered_change,load_time
261,72634866,2020-08-10,36706213,333517.0,1059616,6259.0,25334019.0,216602.0,09:54.1
262,73037963,2020-09-10,37019381,313168.0,1064420,4804.0,25510557.0,176538.0,09:54.1
263,73438171,2020-10-10,37267921,248540.0,1069953,5533.0,25711805.0,201248.0,09:54.1
264,73848747,2020-11-10,37706961,439040.0,1073780,3827.0,25923754.0,211949.0,09:54.1
265,74235060,2020-12-10,38006121,299160.0,1078068,4288.0,26172754.0,249000.0,09:54.1
266,74590666,2020-10-13,38351539,345418.0,1083875,5807.0,26354211.0,181457.0,09:54.1
267,74935625,2020-10-14,38756289,404750.0,1089186,5311.0,26540006.0,185795.0,09:54.1
268,75293212,2020-10-15,39126112,369823.0,1095216,6030.0,26753000.0,212994.0,09:54.1
269,75627026,2020-10-16,39502909,376797.0,1101007,5791.0,26956913.0,203913.0,09:54.1
270,75998990,2020-10-17,39803562,300653.0,1106705,5698.0,27147928.0,191015.0,09:54.1
271,76372960,2020-10-18,40272089,468527.0,1111714,5009.0,27353713.0,205785.0,09:54.1
272,76673954,2020-10-19,40652097,380008.0,1116167,4453.0,27558672.0,204959.0,09:54.1
273,77027677,2020-10-20,40990616,338519.0,1122036,5869.0,2782160.0,-24776512.0,09:54.1
274,77035667,2020-10-21,41329136,338520.0,1122036,0.0,2782160.0,0.0,09:54.1
275,78103542,2020-10-23,42439400,433222.0,1140759,9362.0,28423572.0,12820706.0,09:54.1
276,78447994,2020-10-24,42886132,446732.0,1147192,6433.0,28630738.0,207166.0,09:54.1
277,78767475,2020-10-25,43385581,499449.0,1152314,5122.0,28853536.0,222798.0,09:54.1
278,79067501,2020-10-26,43841084,455503.0,1157714,5400.0,29098191.0,244655.0,09:54.1
279,79418772,2020-10-27,44311674,470590.0,1164755,7041.0,29300099.0,201908.0,09:54.1
280,79732082,2020-10-28,44859998,548324.0,1171286,6531.0,29889942.0,589843.0,09:54.1
281,80126171,2020-10-29,45271624,411626.0,1178410,7124.0,30141437.0,251495.0,09:54.1
282,80470050,2020-10-30,45916151,644527.0,1183861,5451.0,30380635.0,239198.0,09:54.1
283,80810634,2020-10-31,46386903,470752.0,1193070,9209.0,29837092.0,-543543.0,09:54.1
